['p5', '00:01:20', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '3', '2', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '3', '2', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '4', '2', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '2', '1', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:20', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '0', '1', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '-2', '3', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '-3', '2', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '4', '-1', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '7', '-1', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:21', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:22', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:22', 'pan', 'geo-0-1', '0', '-1', 'Sensemaking']
['p5', '00:01:22', 'pan', 'geo-0-1', '0', '0', 'Sensemaking']
['p5', '00:01:29', 'range select', 'bar-5', '5-1-1-1_', 'Question']
['p5', '00:01:31', 'range select', 'bar-5', '5-0-0-1_', 'Question']
['p5', '00:01:33', 'range select', 'bar-5', '5-1-1-1_', 'Question']
['p5', '00:01:38', 'range select', 'bar-5', '5-0-0-1_', 'Question']
['p5', '00:01:47', 'range select', 'bar-5', '5-1-1-1_', 'Question']
['p5', '00:01:51', 'range select', 'bar-5', '5-2-2-1_', 'Question']
['p5', '00:01:52', 'pan', 'geo-0-1', '0', '0', 'Question']
['p5', '00:01:52', 'pan', 'geo-0-1', '3', '4', 'Question']
['p5', '00:01:52', 'pan', 'geo-0-1', '2', '3', 'Question']
['p5', '00:01:52', 'pan', 'geo-0-1', '5', '8', 'Question']
['p5', '00:01:52', 'pan', 'geo-0-1', '4', '5', 'Question']
['p5', '00:01:53', 'pan', 'geo-0-1', '5', '2', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '15', '8', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '16', '3', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '9', '2', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '3', '-1', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '1', '-1', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '1', '0', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '3', '0', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '4', '0', 'Sensemaking']
['p5', '00:01:53', 'pan', 'geo-0-1', '2', '0', 'Sensemaking']
